Date,Price,Open,High,Low,Change_%,DayOfWeek
2000-02-29,292.12,291.88,292.12,292.12,-0.04,Tuesday
2000-03-01,291.25,292.25,291.25,291.25,-0.3,Wednesday
2000-03-02,288.2,290.0,288.2,288.2,-1.05,Thursday
2000-03-03,288.8,288.0,288.8,288.8,0.21,Friday
2000-03-06,287.9,289.0,287.9,287.9,-0.31,Monday
2000-03-07,292.1,288.0,292.1,292.1,1.46,Tuesday
2000-03-08,288.6,292.4,288.6,288.6,-1.2,Wednesday
2000-03-09,291.25,288.25,291.25,291.25,0.92,Thursday
2000-03-10,289.0,291.5,289.0,289.0,-0.77,Friday
2000-03-13,290.38,288.88,290.38,290.38,0.48,Monday
2000-03-14,288.88,290.62,288.88,288.88,-0.52,Tuesday
2000-03-15,288.88,288.88,288.88,288.88,0.0,Wednesday
2000-03-16,286.5,289.0,286.5,286.5,-0.82,Thursday
2000-03-17,284.5,286.0,284.5,284.5,-0.7,Friday
2000-03-20,285.88,283.68,285.88,285.88,0.49,Monday
2000-03-21,289.88,286.23,289.88,289.88,1.4,Tuesday
2000-03-22,288.0,289.75,288.0,288.0,-0.65,Wednesday
2000-03-23,285.5,288.1,285.5,285.5,-0.87,Thursday
2000-03-24,284.9,285.1,284.9,284.9,-0.21,Friday
2000-03-27,280.2,285.15,280.2,280.2,-1.65,Monday
2000-03-28,279.35,280.35,279.35,279.35,-0.3,Tuesday
2000-03-29,276.25,279.55,276.25,276.25,-1.11,Wednesday
2000-03-30,276.5,276.15,276.5,276.5,0.09,Thursday
2000-03-31,278.95,276.75,278.95,278.95,0.89,Friday
2000-04-03,278.15,278.75,278.15,278.15,-0.29,Monday
2000-04-04,284.8,278.5,284.8,284.8,2.39,Tuesday
2000-04-05,281.5,284.5,281.5,281.5,-1.16,Wednesday
2000-04-06,280.5,281.6,280.5,280.5,-0.36,Thursday
2000-04-07,280.2,280.25,280.2,280.2,-0.11,Friday
2000-04-10,281.75,279.95,281.75,281.75,0.55,Monday
2000-04-11,281.62,281.62,281.62,281.62,-0.05,Tuesday
2000-04-12,282.25,281.7,282.25,282.25,0.22,Wednesday
2000-04-13,281.8,282.05,281.8,281.8,-0.16,Thursday
2000-04-14,283.0,281.75,283.0,283.0,0.43,Friday
2000-04-17,281.38,283.77,281.38,281.38,-0.57,Monday
2000-04-18,281.12,280.62,281.12,281.12,-0.09,Tuesday
2000-04-19,280.77,281.27,280.77,280.77,-0.12,Wednesday
2000-04-20,279.75,280.75,279.75,279.75,-0.36,Thursday
2000-04-21,280.0,280.0,280.0,280.0,0.09,Friday
2000-04-24,279.8,280.0,279.8,279.8,-0.07,Monday
2000-04-25,278.25,279.75,278.25,278.25,-0.55,Tuesday
2000-04-26,275.65,278.15,275.65,275.65,-0.93,Wednesday
2000-04-27,277.05,275.85,277.05,277.05,0.51,Thursday
2000-04-28,273.5,277.1,273.5,273.5,-1.28,Friday
2000-05-01,273.62,273.88,273.62,273.62,0.04,Monday
2000-05-02,275.75,273.75,275.75,275.75,0.78,Tuesday
2000-05-03,278.38,275.88,278.38,278.38,0.95,Wednesday
2000-05-04,280.12,278.88,280.12,280.12,0.63,Thursday
2000-05-05,278.95,280.45,278.95,278.95,-0.42,Friday
2000-05-08,276.62,279.02,276.62,276.62,-0.84,Monday
2000-05-09,277.25,276.45,277.25,277.25,0.23,Tuesday
2000-05-10,277.75,277.25,277.75,277.75,0.18,Wednesday
2000-05-11,275.95,277.6,275.95,275.95,-0.65,Thursday
2000-05-12,276.15,276.0,276.15,276.15,0.07,Friday
2000-05-15,275.65,276.45,275.65,275.65,-0.18,Monday
2000-05-16,275.55,275.65,275.55,275.55,-0.04,Tuesday
2000-05-17,273.35,275.5,273.35,273.35,-0.8,Wednesday
2000-05-18,273.35,273.5,273.35,273.35,0.0,Thursday
2000-05-19,274.25,273.4,274.25,274.25,0.33,Friday
2000-05-22,275.75,274.1,275.75,275.75,0.55,Monday
2000-05-23,274.35,275.4,274.35,274.35,-0.51,Tuesday
2000-05-24,273.55,274.1,273.55,273.55,-0.29,Wednesday
2000-05-25,270.25,273.45,270.25,270.25,-1.21,Thursday
2000-05-26,272.05,270.0,272.05,272.05,0.67,Friday
2000-05-29,272.15,272.25,272.15,272.15,0.04,Monday
2000-05-30,272.95,273.25,272.95,272.95,0.29,Tuesday
2000-05-31,272.15,272.95,272.15,272.15,-0.29,Wednesday
2000-06-01,272.8,272.0,272.8,272.8,0.24,Thursday
2000-06-02,281.38,272.98,281.38,281.38,3.15,Friday
2000-06-05,285.48,280.38,285.48,285.48,1.46,Monday
2000-06-06,289.3,285.7,289.3,289.3,1.34,Tuesday
2000-06-07,287.25,289.25,287.25,287.25,-0.71,Wednesday
2000-06-08,284.45,286.75,284.45,284.45,-0.97,Thursday
2000-06-09,283.85,284.35,283.85,283.85,-0.21,Friday
2000-06-12,286.75,283.85,286.75,286.75,1.02,Monday
2000-06-13,285.75,286.5,285.75,285.75,-0.35,Tuesday
2000-06-14,291.75,286.15,291.75,291.75,2.1,Wednesday
2000-06-15,289.85,292.45,289.85,289.85,-0.65,Thursday
2000-06-16,289.25,289.55,289.25,289.25,-0.21,Friday
2000-06-19,286.25,288.4,286.25,286.25,-1.04,Monday
2000-06-20,286.2,286.15,286.2,286.2,-0.02,Tuesday
2000-06-21,286.2,286.35,286.2,286.2,0.0,Wednesday
2000-06-22,285.65,286.25,285.65,285.65,-0.19,Thursday
2000-06-23,283.2,285.6,283.2,283.2,-0.86,Friday
2000-06-26,284.0,282.9,284.0,284.0,0.28,Monday
2000-06-27,286.05,284.45,286.05,286.05,0.72,Tuesday
2000-06-28,292.8,286.05,292.8,292.8,2.36,Wednesday
2000-06-29,289.15,291.75,289.15,289.15,-1.25,Thursday
2000-06-30,290.1,289.25,290.1,290.1,0.33,Friday
