"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2010","1,097.35","1,097.25","1,097.90","1,097.05","","0.10%"
"12/31/2009","1,096.20","1,093.15","1,107.10","1,092.10","","0.39%"
"12/30/2009","1,091.95","1,097.25","1,098.05","1,086.30","","-0.54%"
"12/29/2009","1,097.85","1,106.20","1,108.70","1,096.75","","-0.81%"
"12/28/2009","1,106.85","1,106.95","1,114.00","1,101.75","","0.21%"
"12/25/2009","1,104.50","1,104.00","1,104.50","1,104.00","","-0.09%"
"12/24/2009","1,105.45","1,087.90","1,106.65","1,087.25","","1.68%"
"12/23/2009","1,087.20","1,084.10","1,096.05","1,079.60","","0.32%"
"12/22/2009","1,083.75","1,093.25","1,097.60","1,074.60","","-0.76%"
"12/21/2009","1,092.10","1,111.45","1,119.10","1,090.25","","-1.83%"
"12/18/2009","1,112.50","1,098.00","1,117.00","1,096.05","","1.30%"
"12/17/2009","1,098.25","1,138.30","1,141.90","1,094.90","","-3.49%"
"12/16/2009","1,137.95","1,124.85","1,141.10","1,121.40","","1.20%"
"12/15/2009","1,124.50","1,126.75","1,129.30","1,111.70","","0.00%"
"12/14/2009","1,124.55","1,113.80","1,127.90","1,110.25","","0.87%"
"12/11/2009","1,114.90","1,130.60","1,142.30","1,109.50","","-1.51%"
"12/10/2009","1,132.05","1,129.10","1,137.00","1,121.70","","0.30%"
"12/09/2009","1,128.70","1,129.75","1,146.80","1,117.20","","-0.12%"
"12/08/2009","1,130.05","1,157.25","1,168.90","1,125.55","","-2.44%"
"12/07/2009","1,158.30","1,160.45","1,164.95","1,136.20","","-0.29%"
"12/04/2009","1,161.70","1,207.70","1,212.60","1,147.75","","-4.07%"
"12/03/2009","1,211.00","1,216.15","1,226.50","1,204.30","","-0.33%"
"12/02/2009","1,214.95","1,196.25","1,217.15","1,195.00","","1.44%"
"12/01/2009","1,197.70","1,179.65","1,201.80","1,175.45","","1.60%"
"11/30/2009","1,178.85","1,176.60","1,182.00","1,163.40","","0.10%"
"11/27/2009","1,177.70","1,191.90","1,192.20","1,137.80","","-1.29%"
"11/26/2009","1,193.10","1,190.85","1,195.40","1,180.40","","0.26%"
"11/25/2009","1,190.05","1,169.25","1,192.00","1,167.05","","1.74%"
"11/24/2009","1,169.70","1,165.85","1,171.50","1,157.75","","0.38%"
"11/23/2009","1,165.25","1,151.20","1,173.90","1,150.85","","1.33%"
"11/20/2009","1,149.95","1,143.95","1,151.30","1,132.80","","0.51%"
"11/19/2009","1,144.10","1,145.15","1,146.15","1,129.90","","-0.05%"
"11/18/2009","1,144.65","1,141.45","1,153.15","1,135.90","","0.32%"
